engine,material,diameter_mm,tension_n,num_strings,detuning_cents,damping_override,anchor_f0_hz,anchor_t60_s
cimbalom,steel,0.58,,,,0.28,261.6260,2.4279
string,nylon,3.5,250,,,0.3,261.6260,2.1602
string,steel,0.55,,,,0.34,261.6260,2.1599
cimbalom,steel,0.95,,,,0.34,261.6260,1.5745
string,nylon,3.0,280,,,0.35,261.6260,1.8876
string,steel,0.62,,,,0.4,261.6260,1.8354
cimbalom,steel,0.72,,,,0.4,261.6260,1.7169
string,steel,3.0,350,,,0.4,261.6260,1.0646
string,steel,0.68,,,,0.44,261.6260,1.6487
cimbalom,steel,0.52,,,,0.46,261.6260,1.7396
cimbalom,steel,0.56,,,,0.46,261.6260,1.7069
cimbalom,steel,0.6,,,,0.46,261.6260,1.6717
cimbalom,steel,0.55,,,,0.48,261.6260,1.6584
string,steel,0.9,,,,0.48,261.6260,1.3375
cimbalom,steel,0.8,,,,0.5,261.6260,1.3935
string,nylon,3.0,300,,,0.5,261.6260,1.449
string,nylon,3.0,320,,,0.5,261.6260,1.4275
string,steel,3.0,400,,,0.5,261.6260,1.0156
string,steel,1.45,,,,0.52,261.6260,0.84952
cimbalom,steel,0.52,,,,0.54,261.6260,1.5271
cimbalom,steel,0.56,,,,0.54,261.6260,1.5018
cimbalom,steel,0.6,,,,0.54,261.6260,1.4745
cimbalom,steel,0.46,,,,0.72,261.6260,1.218
cimbalom,steel,0.62,,,,0.72,261.6260,1.1563
string,nylon,2.0,300,,,0.8,261.6260,0.99757
cimbalom,steel,0.54,,,,0.8999999999999999,261.6260,0.98021
cimbalom,steel,0.7,,,,0.8999999999999999,261.6260,0.9308
cimbalom,steel,0.44,,,,1.15,261.6260,0.80179
string,steel,1.5,1000,,,10.0,261.6260,0.094872
string,steel,1.8,1200,,,15.0,261.6260,0.063918
string,steel,2.0,600,,,3.0,261.6260,0.29959
string,steel,1.8,500,,,4.0,261.6260,0.23345
string,steel,0.5,200,,,5.0,261.6260,0.19461
string,nylon,3.0,500,,,6.0,261.6260,0.15887
string,steel,2.5,800,,,8.0,261.6260,0.11829
plate,bronze,,,,,,261.6260,7.4864
