engine,material,diameter_mm,tension_n,num_strings,detuning_cents,damping_override,anchor_f0_hz,anchor_t60_s
cimbalom,steel,0.58,,,,0.28,261.6260,2.524
string,nylon,3.5,250,,,0.3,261.6260,2.112
string,steel,0.55,,,,0.34,261.6260,2.2429
cimbalom,steel,0.95,,,,0.34,261.6260,1.5895
string,nylon,3.0,280,,,0.35,261.6260,1.8544
string,steel,0.62,,,,0.4,261.6260,1.8837
cimbalom,steel,0.72,,,,0.4,261.6260,1.7489
string,steel,3.0,350,,,0.4,261.6260,1.6739
string,steel,0.68,,,,0.44,261.6260,1.6815
cimbalom,steel,0.52,,,,0.46,261.6260,1.7984
cimbalom,steel,0.56,,,,0.46,261.6260,1.7567
cimbalom,steel,0.6,,,,0.46,261.6260,1.7141
cimbalom,steel,0.55,,,,0.48,261.6260,1.7069
string,steel,0.9,,,,0.48,261.6260,1.3498
cimbalom,steel,0.8,,,,0.5,261.6260,1.4106
string,nylon,3.0,300,,,0.5,261.6260,1.4291
string,nylon,3.0,320,,,0.5,261.6260,1.4079
string,steel,3.0,400,,,0.5,261.6260,1.3818
string,steel,1.45,,,,0.52,261.6260,0.85057
cimbalom,steel,0.52,,,,0.54,261.6260,1.5722
cimbalom,steel,0.56,,,,0.54,261.6260,1.5403
cimbalom,steel,0.6,,,,0.54,261.6260,1.5074
cimbalom,steel,0.46,,,,0.72,261.6260,1.253
cimbalom,steel,0.62,,,,0.72,261.6260,1.1753
string,nylon,2.0,300,,,0.8,261.6260,1.0002
cimbalom,steel,0.54,,,,0.8999999999999999,261.6260,0.99749
cimbalom,steel,0.7,,,,0.8999999999999999,261.6260,0.94063
cimbalom,steel,0.44,,,,1.15,261.6260,0.81794
string,steel,1.5,1000,,,10.0,261.6260,0.094885
string,steel,1.8,1200,,,15.0,261.6260,0.063922
string,steel,2.0,600,,,3.0,261.6260,0.30041
string,steel,1.8,500,,,4.0,261.6260,0.23385
string,steel,0.5,200,,,5.0,261.6260,0.19537
string,nylon,3.0,500,,,6.0,261.6260,0.15861
string,steel,2.5,800,,,8.0,261.6260,0.11857
plate,bronze,,,,,,261.6260,7.4864
