material,note_name,midi,nominal_hz,center_string_f0_hz,t60_s
steel,C2,36,65.4064,65.4060,15.308
steel,C4,60,261.6256,261.6260,4.1425
steel,C6,84,1046.5023,1046.5020,1.0649
steel,C8,108,4186.0090,4186.0090,0.24278
aluminum,C2,36,65.4064,65.4060,21.223
aluminum,C4,60,261.6256,261.6260,7.6461
aluminum,C6,84,1046.5023,1046.5020,2.3033
aluminum,C8,108,4186.0090,4186.0090,0.50204
rubber,C2,36,65.4064,65.4060,0.11123
rubber,C4,60,261.6256,261.6260,0.027918
rubber,C6,84,1046.5023,1046.5020,0.0069909
rubber,C8,108,4186.0090,4186.0090,0.001749
