material,note_name,midi,nominal_hz,center_string_f0_hz,t60_s
steel,C2,36,65.4064,65.4060,17.655
steel,C4,60,261.6256,261.6260,4.2969
steel,C6,84,1046.5023,1046.5020,0.97137
steel,C8,108,4186.0090,4186.0090,0.1756
aluminum,C2,36,65.4064,65.4060,47.138
aluminum,C4,60,261.6256,261.6260,11.241
aluminum,C6,84,1046.5023,1046.5020,2.3721
aluminum,C8,108,4186.0090,4186.0090,0.36528
rubber,C2,36,65.4064,65.4060,0.1119
rubber,C4,60,261.6256,261.6260,0.027934
rubber,C6,84,1046.5023,1046.5020,0.0069437
rubber,C8,108,4186.0090,4186.0090,0.0016972
