piece,event_idx,engine,exciter,note,midi,velocity,center_f0_hz_felt,center_t60_s_felt,center_f0_hz_swap,center_t60_s_swap,all_freq_decay_equal,amps_differ,n_strings,n_partials
physical_piano,0,piano,(default),C4,60,0.8,261.626000,2.873700,261.626000,2.873700,EQUAL,yes,3,40
physical_piano,1,piano,(default),E4,64,0.8,329.628000,2.289700,329.628000,2.289700,EQUAL,yes,3,40
physical_piano,2,piano,(default),G4,67,0.8,391.995000,1.930100,391.995000,1.930100,EQUAL,yes,3,34
physical_piano,3,piano,(default),C5,72,0.85,523.251000,1.450600,523.251000,1.450600,EQUAL,yes,3,25
ai_radiance_m3,5,cimbalom,felt_mallet,A4,69,0.46,440.000000,1.464300,440.000000,1.464300,EQUAL,yes,3,36
ai_radiance_m3,7,cimbalom,felt_mallet,C5,72,0.42,523.251000,1.235900,523.251000,1.235900,EQUAL,yes,3,30
ai_radiance_m3,13,cimbalom,felt_mallet,E5,76,0.42,659.255000,0.985090,659.255000,0.985090,EQUAL,yes,3,24
ai_radiance_m3,15,cimbalom,felt_mallet,D5,74,0.42,587.330000,1.103500,587.330000,1.103500,EQUAL,yes,3,26
ai_radiance_m3,22,cimbalom,felt_mallet,C5,72,0.46,523.251000,1.235900,523.251000,1.235900,EQUAL,yes,3,30
ai_radiance_m3,24,cimbalom,felt_mallet,A4,69,0.42,440.000000,1.464300,440.000000,1.464300,EQUAL,yes,3,36
ai_radiance_m3,30,cimbalom,felt_mallet,G4,67,0.42,391.995000,1.639100,391.995000,1.639100,EQUAL,yes,3,40
ai_radiance_m3,32,cimbalom,felt_mallet,C5,72,0.42,523.251000,1.235900,523.251000,1.235900,EQUAL,yes,3,30
ai_radiance_m3,39,cimbalom,felt_mallet,F5,77,0.46,698.456000,0.930680,698.456000,0.930680,EQUAL,yes,3,22
ai_radiance_m3,41,cimbalom,felt_mallet,E5,76,0.42,659.255000,0.985090,659.255000,0.985090,EQUAL,yes,3,24
ai_radiance_m3,47,cimbalom,felt_mallet,C5,72,0.42,523.251000,1.235900,523.251000,1.235900,EQUAL,yes,3,30
ai_radiance_m3,49,cimbalom,felt_mallet,A4,69,0.42,440.000000,1.464300,440.000000,1.464300,EQUAL,yes,3,36
ai_radiance_m3,56,cimbalom,felt_mallet,D5,74,0.46,587.330000,1.103500,587.330000,1.103500,EQUAL,yes,3,26
ai_radiance_m3,58,cimbalom,felt_mallet,C5,72,0.42,523.251000,1.235900,523.251000,1.235900,EQUAL,yes,3,30
ai_radiance_m3,64,cimbalom,felt_mallet,G4,67,0.42,391.995000,1.639100,391.995000,1.639100,EQUAL,yes,3,40
ai_radiance_m3,66,cimbalom,felt_mallet,F4,65,0.42,349.228000,1.834400,349.228000,1.834400,EQUAL,yes,3,40
akashic_action_001,0,string,finger,D5,74,0.35,587.330000,1.073200,587.330000,1.073200,EQUAL,yes,3,17
ocean_action_001,1,string,rubber_mallet,D1,26,0.85,36.708000,1.124100,36.708000,1.124100,EQUAL,yes,3,40
