piece,score_path,wav,len_s,rms_dbfs,centroid_hz,sha256
moonlight_sonata_movement1_yangqin,scores/examples/moonlight_sonata_movement1_yangqin.score.json,moonlight_sonata_i_yangqin.wav,317.495,-23.906,800.67,49514b007e3e01fc8f9bf2c18b96e92f29ac26975a1f07641df08db48f5a687e
moonlight_sonata_movement1_yangqin_tongue_mix,scores/examples/moonlight_sonata_movement1_yangqin_tongue_mix.score.json,moonlight_sonata_i_yangqin_tongue_mix.wav,325.869,-23.409,734.31,7b0413dd4f85807969242b831c512758834e18b878ec4181c67ad308e9b8b79b
akashic_notify_001,scores/library/akashic/akashic_notify_001.score.json,UI_Bright_OneShot_E6.wav,4.430,-23.984,2013.46,ff3e3cf8f8c1974d8f45663fd99b49cb85e0e86baafd60a84048f90b1a0bb34a
forest_action_001,scores/library/forest/forest_action_001.score.json,Impact_Punch_OneShot_C4.wav,0.875,-23.670,2103.99,4e621d8322db3d81e58063a4c98df732ea7eec7bdb994aa50e688310b451f5cb
forest_notify_001,scores/library/forest/forest_notify_001.score.json,UI_Bright_OneShot_B6.wav,2.045,-25.077,2938.70,e21a06f342a899cab84d9c07a8f7e64b9d2f77fe27c4e5cd9c200b844bdfa98c
forest_transition_001,scores/library/forest/forest_transition_001.score.json,Whoosh_Airy_OneShot_D5.wav,5.235,-22.618,1227.63,e3036f8feeaf083f2bd94450ff5cfbce880de631a5ab44745721008c66f3d4f6
forest_ui_001,scores/library/forest/forest_ui_001.score.json,UI_Soft_OneShot_F5.wav,0.615,-23.625,2044.75,e74063ba83c283c1eadde6b072552b2cb313e97576fadce9d34caf4ea3463fc8
rabbit_notify_001,scores/library/rabbit/rabbit_notify_001.score.json,UI_Bright_OneShot_G6.wav,2.047,-17.482,2554.91,e37d8e6ee2783c4988afe5fdb10bc6fbebfb2a03a868aea055911a7620cc7d61
rabbit_ui_001,scores/library/rabbit/rabbit_ui_001.score.json,UI_Soft_OneShot_A5.wav,0.775,-24.417,2227.04,43fc77a782f063b9ce866dc248f0f9b8256a9e498d3a6d36129494a3ca02d226
ai_radiance_m1,scores/originals/ai_radiance/ai_radiance_m1.score.json,Original_AI_Radiance_Movement1.wav,35.930,-22.380,2133.75,74122637a0c71278d174e9f4b0e4a002e5641a9f4cb5b813852238ec20f8204d
rules_v2_demo_001,scores/originals/rules_v2_demo/rules_v2_demo_001.score.json,TsukiSynth_Rules_v2_Demo.wav,87.525,-24.886,1289.07,6b3ad2b68aed5f55c4e5138a5ba74272bf5e38d493805ff74277468faf8f49ee
melody_sentinel,scores/tests/melody_sentinel.score.json,melody_sentinel.wav,3.422,-18.070,1355.44,a16a797bce1beccc854cf6ca2bdb01fbb72badba6647ef4d09f5f25e238727bc
test_glide,scores/tests/test_glide.score.json,test_glide.wav,5.875,-22.992,1041.53,47774f4fa89cd85329395c0ccfab0354ba5885fcf1c8ecc0cd980e9ec31a6623
